851,1666434230,0,0,241,224,-241
855,1666434230,560,5003,560,3,-5
859,1666434230,1375,1,1353,2341,9
861,1666434230,845,2,832,3,5
863,1666434230,0,0,44,1000,-44
867,1666434230,0,0,275,10,-275
868,1666434230,0,0,305,85,-305
869,1666434230,51,2,0,0,51
877,1666434230,1,21,0,0,1
882,1666434230,0,0,3,53,-3
884,1666434230,3,15054,0,0,3
886,1666434230,6,274,0,0,6
888,1666434230,4,300,3,1489,1
890,1666434230,21,3666,19,8513,2
892,1666434230,139,3770,137,1125,1
948,1666434230,123,40,0,0,122
950,1666434230,34,9,0,0,34
952,1666434230,115,2,0,0,114
954,1666434230,59,310,0,0,59
960,1666434230,243,369,0,0,241
970,1666434230,209,4,0,0,207
973,1666434230,435,6,388,15,43
983,1666434230,460,1,0,0,456
985,1666434230,0,0,10200,42,-10200
987,1666434230,0,0,10200,43,-10200
989,1666434230,0,0,20525,11,-20525
1005,1666434230,0,0,112,2,-112
1011,1666434230,45,1,0,0,45
1013,1666434230,35,2,0,0,35
1017,1666434230,179,2,0,0,178
1025,1666434230,0,0,60,1,-60
1033,1666434230,4371,1,3074,1,1254
1035,1666434230,1049,1,0,0,1039
1040,1666434230,0,0,6048,1,-6048
1046,1666434230,9500,5,0,0,9405
1048,1666434230,6237,5,0,0,6175
1053,1666434230,0,0,6900,1,-6900
1059,1666434230,14,7,0,0,14
1061,1666434230,84,10,78,1,6
1069,1666434230,650,1,0,0,644
1071,1666434230,1276,1,1264,1,0
1073,1666434230,3579,1,3480,6,64
1079,1666434230,38287,1,37910,77,-5
1093,1666434230,0,0,37915,13,-37915
1095,1666434230,4,1,2,1,2
1099,1666434230,2126,2,2124,7,-19
1101,1666434230,240,1,0,0,238
1113,1666434230,29562,22,29335,18,-68
1121,1666434230,2895,202,2816,2,51
1123,1666434230,9560,262,9557,13,-92
1125,1666434230,0,0,2720,1,-2720
1127,1666434230,39175,2,38529,59,255
1129,1666434230,16,2,15,1,1
1131,1666434230,0,0,8,2,-8
1135,1666434230,4268,126,4264,2,-38
1139,1666434230,192,2,150,1,41
1147,1666434230,0,0,11206,30,-11206
1149,1666434230,0,0,58649,52,-58649
1155,1666434230,111,1,110,2,0
1157,1666434230,0,0,170,1,-170
1159,1666434230,627,2,0,0,621
1161,1666434230,2600,1,1860,6,714
1163,1666434230,20642,61,20639,91,-203
1165,1666434230,0,0,478,1,-478
1167,1666434230,0,0,5,1,-5
1169,1666434230,0,0,44,1,-44
1171,1666434230,0,0,89,2,-89
1177,1666434230,0,0,180,1,-180
1183,1666434230,2240,1,2033,4,185
1185,1666434230,0,0,22655,14,-22655
1187,1666434230,0,0,298002,2,-298002
1193,1666434230,366,1,0,0,363
1197,1666434230,0,0,1033,4,-1033
1199,1666434230,2979,17,2900,1,50
1201,1666434230,32165,32,32166,125,-322
1203,1666434230,0,0,110,2,-110
1213,1666434230,0,0,4456,11,-4456
1215,1666434230,0,0,17449,19,-17449
1237,1666434230,451,2,0,0,447
1245,1666434230,891,8,0,0,883
1247,1666434230,12317,3,0,0,12194
1249,1666434230,0,0,36972,3,-36972
1265,1666434230,88,120,0,0,88
1271,1666434230,1998,1,1754,2,225
1273,1666434230,580,1,0,0,575
1275,1666434230,19398,4,18390,22,815
1283,1666434230,0,0,155,1,-155
1289,1666434230,14000,1,12337,16,1523
1297,1666434230,0,0,335,1,-335
1301,1666434230,0,0,1637,6,-1637
1303,1666434230,0,0,18757,46,-18757
1305,1666434230,0,0,59382,32,-59382
1315,1666434230,1320,1,0,0,1307
1317,1666434230,0,0,3523,240,-3523
1319,1666434230,37929,196,37900,64,-350
1321,1666434230,179,1,200,11,-22
1323,1666434230,139,12,0,0,138
1325,1666434230,139,3,0,0,138
1327,1666434230,1911,1,0,0,1892
1329,1666434230,345,4,0,0,342
1331,1666434230,1600,2,1475,2,109
1333,1666434230,15300,1,15000,21,147
1335,1666434230,64,1,0,0,64
1345,1666434230,6000,1,3301,1,2639
1347,1666434230,0,0,24790,31,-24790
1351,1666434230,110,2,102,1,7
1355,1666434230,57,1,0,0,57
1357,1666434230,1304,4,718,3,573
1359,1666434230,0,0,7229,19,-7229
1361,1666434230,797,1,695,6,95
1365,1666434230,0,0,188,2,-188
1371,1666434230,0,0,2675,22,-2675
1373,1666434230,0,0,24682,12,-24682
1377,1666434230,119319,1,119200,3,-1074
1381,1666434230,1695,1,1532,7,147
1391,1666434230,7828,1154,7828,3795,-78
1393,1666434230,0,0,8962,1,-8962
1395,1666434230,0,0,8951,313,-8951
1397,1666434230,8956,908,8960,7801,-93
1399,1666434230,8880,408,8880,699,-88
1401,1666434230,0,0,25690,1,-25690
1405,1666434230,25997,1,25261,3,477
1407,1666434230,0,0,25213,2,-25213
1430,1666434230,0,0,598,11,-598
1432,1666434230,0,0,8317,6,-8317
1436,1666434230,13,50,0,0,13
1438,1666434230,0,0,36,10,-36
1440,1666434230,176,1,164,3,11
1448,1666434230,0,0,751,2,-751
1452,1666434230,127,3,0,0,126
1456,1666434230,17285,2,0,0,17113
1476,1666434230,2635,1,0,0,2609
1478,1666434230,0,0,1824,4,-1824
1511,1666434230,84,8,74,314,10
1513,1666434230,1074,7378,1064,3155,0
1515,1666434230,220,604,218,4351,0
1517,1666434230,8,1,7,120285,1
1519,1666434230,28,998,29,582,-1
1521,1666434230,0,0,54,15,-54
1539,1666434230,13,90,13,1006,0
1540,1666434230,145,1,0,0,144
1550,1666434230,50,1,0,0,50
1592,1666434230,70,2,0,0,70
1595,1666434230,250,1,0,0,248
1597,1666434230,217,1,0,0,215
1601,1666434230,0,0,1780,518,-1780
1603,1666434230,888,251,887,374,-7
1605,1666434230,399,69,393,549,3
1607,1666434230,210,400,205,760,3
1609,1666434230,693,6,661,629,26
1611,1666434230,295,3,276,2,17
1613,1666434230,3241,4,0,0,3209
1615,1666434230,11666,1,11550,794,0
1617,1666434230,0,0,2728,118,-2728
1619,1666434230,1139,1,1117,167,11
1621,1666434230,482,508,478,155,0
1623,1666434230,251,3,245,66,4
1625,1666434230,420,1,0,0,416
1627,1666434230,131,1,0,0,130
1631,1666434230,0,0,13505,23,-13505
1635,1666434230,154,1,154,7,-1
1637,1666434230,0,0,437,17,-437
1639,1666434230,715,36,647,45,61
1641,1666434230,0,0,1073,4,-1073
1643,1666434230,1973,1,1951,5,3
1645,1666434230,0,0,11211,4,-11211
1658,1666434230,648,1300,0,0,642
1660,1666434230,1129,63,1125,90,-7
1662,1666434230,2015,1,2002,5,-7
1664,1666434230,0,0,11853,5,-11853
1692,1666434230,0,0,146,500,-146
1694,1666434230,460,2,0,0,456
1698,1666434230,0,0,1190,1,-1190
1700,1666434230,2115,3500,0,0,2094
1702,1666434230,11949,2,0,0,11830
1704,1666434230,11781,1,11592,55,72
1712,1666434230,11204,12,10856,3,236
1716,1666434230,0,0,100,1,-100
1718,1666434230,252,1,0,0,250
1724,1666434230,0,0,500,8,-500
1725,1666434230,1300,1,0,0,1287
1727,1666434230,0,0,580,1,-580
1731,1666434230,2085,5,2013,3,52
1733,1666434230,95,13,0,0,95
1734,1666434230,6,291,5,4112,1
1739,1666434230,0,0,195,46,-195
1741,1666434230,275,463,0,0,273
1745,1666434230,0,0,1495,9751,-1495
1747,1666434230,3062,115,3029,790,3
1749,1666434230,2236,195,2193,1182,21
1751,1666434230,1672,2363,1630,468,26
1753,1666434230,1363,799,1350,1274,0
1755,1666434230,99,1,0,0,99
1759,1666434230,32,35,30,80,2
1761,1666434230,188,13,174,4363,13
1763,1666434230,464,1,450,2,10
1765,1666434230,357,4,0,0,354
1767,1666434230,240,5,0,0,238
1773,1666434230,1499,1,0,0,1485
1775,1666434230,94,21,93,46,1
1777,1666434230,92,27208,92,2143,0
1779,1666434230,0,0,3,37500,-3
1783,1666434230,48,287,46,168,2
1785,1666434230,1,1,0,0,1
1791,1666434230,192,1,0,0,191
1794,1666434230,297,5,0,0,295
1823,1666434230,180,10,0,0,179
1833,1666434230,150,2,0,0,149
1835,1666434230,158,1,0,0,157
1837,1666434230,200,1,0,0,198
1887,1666434230,46,1,0,0,46
1891,1666434230,0,0,157,13,-157
1897,1666434230,180,251,161,1,18
1905,1666434230,98,4,0,0,98
1907,1666434230,100,1,0,0,99
1909,1666434230,767,1,0,0,760
1913,1666434230,79,1,0,0,79
1917,1666434230,102,10,100,1,1
1919,1666434230,58,16,0,0,58
1921,1666434230,76,1,0,0,76
1925,1666434230,6,201,0,0,6
1927,1666434230,60,2,0,0,60
1929,1666434230,40,5,39,1776,1
1931,1666434230,8,1,7,39,1
1933,1666434230,123,9,123,1000,-1
1937,1666434230,0,0,39,20000,-39
1939,1666434230,6,13662,5,1100,1
1941,1666434230,7,2001,6,385,1
1942,1666434230,70,14,0,0,70
